inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
José,Serrano,1990 Special,1943,Man,Hispanic - Puerto Rican,Roman Catholic,No
Pete,Sessions,2002,1955,Man,White - Non-Hispanic,Methodist,No
Terri,Sewell,2010,1965,Woman,Black - African-American,Protestant,No
Carol,Shea-Porter,2016,1952,Woman,White - Non-Hispanic,Roman Catholic,No
Brad,Sherman,1996,1954,Man,White - Non-Hispanic,Jewish,No
John,Shimkus,1996,1958,Man,White - Non-Hispanic,Lutheran,No
Bill,Shuster,2001 Special,1961,Man,White - Non-Hispanic,Lutheran,No
Mike,Simpson,1998,1950,Man,White - Non-Hispanic,Mormon,No
Kyrsten,Sinema,2012,1976,Woman,White - Non-Hispanic,Unspecified,Bisexual
Albio,Sires,2006 Special,1951,Man,Hispanic - Cuban,Roman Catholic,No
Louise,Slaughter,1986,1929,Woman,White - Non-Hispanic,Episcopalian,No
Adam,Smith,1996,1965,Man,White - Non-Hispanic,Christian,No
Adrian,Smith,2006,1970,Man,White - Non-Hispanic,Christian,No
Chris,Smith,1980,1953,Man,White - Non-Hispanic,Roman Catholic,No
Jason,Smith,2013 Special,1980,Man,White - Non-Hispanic,Pentecostal,No
Lamar,Smith,1986,1947,Man,White - Non-Hispanic,Christian Scientist,No
Lloyd,Smucker,2016,1964,Man,White - Non-Hispanic,,No
Darren,Soto,2016,1978,Man,Hispanic - Puerto Rican,Roman Catholic,No
Jackie,Speier,2008 Special,1950,Woman,White - Non-Hispanic,Roman Catholic,No
Elise,Stefanik,2014,1984,Woman,White - Non-Hispanic,Roman Catholic,No
Chris,Stewart,2012,1960,Man,White - Non-Hispanic,Mormon,No
Steve,Stivers,2010,1965,Man,White - Non-Hispanic,United Methodist,No
Tom,Suozzi,2016,1962,Man,White - Non-Hispanic,Roman Catholic,No
Eric,Swalwell,2012,1980,Man,White - Non-Hispanic,Christian,No
Mark,Takano,2012,1960,Man,Asian - Japanese,Methodist,Gay
Scott,Taylor,2016,1979,Man,White - Non-Hispanic,Christian,No
Claudia,Tenney,2016,1961,Woman,White - Non-Hispanic,,No
Bennie,Thompson,1993 Special,1948,Man,Black - African-American,Methodist,No
Glenn,Thompson,2008,1959,Man,White - Non-Hispanic,Protestant,No
Mike,Thompson,1998,1951,Man,White - Non-Hispanic,Roman Catholic,No
Mac,Thornberry,1994,1958,Man,White - Non-Hispanic,Presbyterian,No
Pat,Tiberi,2000,1962,Man,White - Non-Hispanic,Roman Catholic,No
Scott,Tipton,2010,1956,Man,White - Non-Hispanic,Anglican,No
Dina,Titus,"2012, 2008-2010",1950,Woman,White - Non-Hispanic,Eastern Orthodox,No
Paul,Tonko,2008,1949,Man,White - Non-Hispanic,Roman Catholic,No
Norma,Torres,2014,1965,Woman,Hispanic - Guatemalan,Roman Catholic,No
Dave,Trott,2014,1960,Man,White - Non-Hispanic,Roman Catholic,No
Niki,Tsongas,2007 Special,1946,Woman,White - Non-Hispanic,Eastern Orthodox,No
Mike,Turner,2002,1960,Man,White - Non-Hispanic,Protestant,No
Fred,Upton,1986,1953,Man,White - Non-Hispanic,Congregationalist,No
David,Valadao,2012,1977,Man,White - Portuguese-American,Roman Catholic,No
Juan,Vargas,2012,1961,Man,Hispanic - Mexican,Roman Catholic,No
Marc,Veasey,2012,1971,Man,Black - African-American,Christian,No
Filemon,Vela,2012,1963,Man,Hispanic - Mexican,Roman Catholic,No
Nydia,Velázquez,1992,1953,Woman,Hispanic - Puerto Rican,Roman Catholic,No
Pete,Visclosky,1984,1949,Man,White - Non-Hispanic,Roman Catholic,No
Ann,Wagner,2012,1962,Woman,White - Non-Hispanic,Roman Catholic,No
Tim,Walberg,"2010, 2006-2008",1951,Man,White - Non-Hispanic,Protestant,No
Greg,Walden,1998,1957,Man,White - Non-Hispanic,Episcopalian,No
Mark,Walker,2014,1969,Man,White - Non-Hispanic,Southern Baptist,No
Jackie,Walorski,2012,1963,Woman,White - Non-Hispanic,Evangelical,No
Mimi,Walters,2014,1962,Woman,White - Non-Hispanic,Roman Catholic,No
Tim,Walz,2006,1964,Man,White - Non-Hispanic,Lutheran,No
Debbie,Wasserman Schultz,2004,1966,Woman,White - Non-Hispanic,Jewish,No
Maxine,Waters,1990,1938,Woman,Black - African-American,Christian,No
Bonnie,Watson Coleman,2014,1945,Woman,Black - African-American,Baptist,No
Randy,Weber,2012,1953,Man,White - Non-Hispanic,Baptist,No
Daniel,Webster,2010,1949,Man,White - Non-Hispanic,Southern Baptist,No
Peter,Welch,2006,1947,Man,White - Non-Hispanic,Roman Catholic,No
Brad,Wenstrup,2012,1958,Man,White - Non-Hispanic,Roman Catholic,No
Bruce,Westerman,2014,1967,Man,White - Non-Hispanic,Southern Baptist,No
Roger,Williams,2012,1949,Man,White - Non-Hispanic,Christian,No
Frederica,Wilson,2010,1942,Woman,Black - African-American,Episcopalian,No
Joe,Wilson,2001 Special,1947,Man,White - Non-Hispanic,Presbyterian,No
Rob,Wittman,2007 Special,1959,Man,White - Non-Hispanic,Episcopalian,No
Steve,Womack,2010,1957,Man,White - Non-Hispanic,Southern Baptist,No
Rob,Woodall,2010,1970,Man,White - Non-Hispanic,Methodist,No
John,Yarmuth,2006,1947,Man,White - Non-Hispanic,Jewish,No
Kevin,Yoder,2010,1976,Man,White - Non-Hispanic,Methodist,No
Ted,Yoho,2012,1955,Man,White - Non-Hispanic,Christian,No
David,Young,2014,1968,Man,White - Non-Hispanic,Lutheran,No
Don,Young,1973 Special,1933,Man,White - Non-Hispanic,Episcopalian,No
Lee,Zeldin,2014,1980,Man,White - Non-Hispanic,Jewish,No
