inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
Kevin,Cramer,2012,1961,Man,White - Non-Hispanic,Evangelical,No
Rick,Crawford,2010,1966,Man,White - Non-Hispanic,Southern Baptist,No
Charlie,Crist,2016,1956,Man,White - Non-Hispanic,United Methodist,No
Joe,Crowley,1998,1962,Man,White - Non-Hispanic,Roman Catholic,No
Henry,Cuellar,2004,1955,Man,Hispanic - Mexican,Roman Catholic,No
John,Culberson,2000,1956,Man,White - Non-Hispanic,Methodist,No
Elijah,Cummings,1996 Special,1951,Man,Black - African-American,Baptist,No
Carlos,Curbelo,2014,1980,Man,Hispanic - Cuban,Roman Catholic,No
John,Curtis,2017 Special,,Man,White - Non-Hispanic,,No
Warren,Davidson,2016 Special,1969/1970,Man,White - Non-Hispanic,Christian,No
Danny,Davis,1996,1941,Man,Black - African-American,Baptist,No
Rodney,Davis,2012,1970,Man,White - Non-Hispanic,Roman Catholic,No
Susan,Davis,2000,1944,Woman,White - Non-Hispanic,Jewish,No
Peter,DeFazio,1986,1947,Man,White - Non-Hispanic,Roman Catholic,No
Diana,DeGette,1996,1957,Woman,White - Non-Hispanic,Presbyterian,No
John,Delaney,2012,1963,Man,White - Non-Hispanic,Roman Catholic,No
Rosa,DeLauro,1990,1943,Woman,White - Non-Hispanic,Roman Catholic,No
Suzan,DelBene,2012 Special,1963,Woman,White - Non-Hispanic,Episcopalian,No
Val,Demings,2016,1957,Woman,Black - African-American,,No
Jeff,Denham,2010,1967,Man,White - Non-Hispanic,Presbyterian,No
Charlie,Dent,2004,1960,Man,White - Non-Hispanic,Presbyterian,No
Ron,DeSantis,2012,1978,Man,White - Non-Hispanic,Roman Catholic,No
Mark,DeSaulnier,2014,1952,Man,White - Non-Hispanic,Roman Catholic,No
Scott,DesJarlais,2010,1964,Man,White - Non-Hispanic,Episcopalian,No
Ted,Deutch,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No
Mario,Diaz-Balart,2002,1961,Man,Hispanic - Cuban,Roman Catholic,No
Debbie,Dingell,2014,1953,Woman,White - Non-Hispanic,Roman Catholic,No
Lloyd,Doggett,1994,1946,Man,White - Non-Hispanic,Methodist,No
Dan,Donovan,2015 Special,1956,Man,White - Non-Hispanic,Roman Catholic,No
Mike,Doyle,1994,1953,Man,White - Non-Hispanic,Roman Catholic,No
Sean,Duffy,2010,1971,Man,White - Non-Hispanic,Roman Catholic,No
Jeff,Duncan,2010,1966,Man,White - Non-Hispanic,Southern Baptist,No
John,Duncan,1988 Special,1947,Man,White - Non-Hispanic,Presbyterian,No
Neal,Dunn,2016,1953,Man,White - Non-Hispanic,,No
Keith,Ellison,2006,1963,Man,Black - African-American,Muslim,No
Tom,Emmer,2014,1961,Man,White - Non-Hispanic,Roman Catholic,No
Eliot,Engel,1988,1947,Man,White - Non-Hispanic,Jewish,No
Anna,Eshoo,1992,1942,Woman,White - Non-Hispanic,Roman Catholic,No
Adriano,Espaillat,2016,1954,Man,Hispanic - Dominican,Roman Catholic,No
Ron,Estes,2017 Special,1956,Man,White - Non-Hispanic,,No
Elizabeth,Esty,2012,1959,Woman,White - Non-Hispanic,Congregationalist,No
Dwight,Evans,2016,1954,Man,Black - African-American,,No
Blake,Farenthold,2010,1961,Man,White - Non-Hispanic,Episcopalian,No
John,Faso,2016,1952,Man,White - Non-Hispanic,Roman Catholic,No
Drew,Ferguson,2016,1966/1967,Man,White - Non-Hispanic,,No
Brian,Fitzpatrick,2016,1973,Man,White - Non-Hispanic,Roman Catholic,No
Chuck,Fleischmann,2010,1962,Man,White - Non-Hispanic,Christian,No
Bill,Flores,2010,1954,Man,Hispanic - Texan (Hispanos),Southern Baptist,No
Jeff,Fortenberry,2004,1960,Man,White - Non-Hispanic,Roman Catholic,No
Bill,Foster,"2012, 2008 Special-2010",1955,Man,White - Non-Hispanic,Unspecified,No
Virginia,Foxx,2004,1943,Woman,White - Non-Hispanic,Roman Catholic,No
Lois,Frankel,2012,1948,Woman,White - Non-Hispanic,Jewish,No
Trent,Franks,2002,1957,Man,White - Non-Hispanic,Southern Baptist,No
Rodney,Frelinghuysen,1994,1946,Man,White - Non-Hispanic,Episcopalian,No
Marcia,Fudge,2008 Special,1952,Woman,Black - African-American,Church of God,No
Tulsi,Gabbard,2012,1981,Woman,Pacific Islander - Samoan,Hindu,No
Matt,Gaetz,2016,,Man,White - Non-Hispanic,Baptist,No
Mike,Gallagher,2016,1984,Man,White - Non-Hispanic,,No
Ruben,Gallego,2014,1979,Man,Hispanic - Mexican/Colombian,Roman Catholic,No
John,Garamendi,2009 Special,1945,Man,White - Non-Hispanic,Roman Catholic,No
Tom,Garrett,2016,1972,Man,White - Non-Hispanic,Christian,No
Greg,Gianforte,2017 Special,,Man,White - Non-Hispanic,,No
Bob,Gibbs,2010,1954,Man,White - Non-Hispanic,Methodist,No
Louie,Gohmert,2004,1953,Man,White - Non-Hispanic,Southern Baptist,No
Jimmy,Gomez,2017 Special,,Man,Hispanic,,No
Vicente,González,2016,1967/1968,Man,Hispanic,,No
Bob,Goodlatte,1992,1952,Man,White - Non-Hispanic,Christian Scientist,No
Paul,Gosar,2010,1958,Man,White - Non-Hispanic,Roman Catholic,No
Josh,Gottheimer,2016,1975,Man,White - Non-Hispanic,,No
Trey,Gowdy,2010,1964,Man,White - Non-Hispanic,Southern Baptist,No
Kay,Granger,1996,1943,Woman,White - Non-Hispanic,Methodist,No
Garret,Graves,2014,1972,Man,White - Non-Hispanic,Roman Catholic,No
Sam,Graves,2000,1963,Man,White - Non-Hispanic,Southern Baptist,No
Tom,Graves,2010 Special,1970,Man,White - Non-Hispanic,Southern Baptist,No
Al,Green,2004,1947,Man,Black - African-American,Southern Baptist,No
