District,party,white,black,latino,asian,native,other,college,college.rank,white.college,white.college.rank,income.med,income.rank,pop,white.raw,black.raw,hisp.raw,asian.raw,native.raw,other.raw,pop.vap,white.vap,black.vap,hisp.vap,asian.vap,native.vap,other.vap
New York 23rd,Republican,91.08194326,2.595701454,2.651126319,2.065690048,0.520744226,1.084794696,26.3,256,25.8,328,49592,285,715904,644134,18738,22745,13705,4034,12548,561120,511079,14565,14876,11591,2922,6087
New York 24th,Republican,86.19098922,6.82189572,2.929841433,2.204069385,0.597609562,1.255594681,30.5,179,31.3,239,55014,210,717111,600220,55154,26233,15978,4161,15365,553204,476812,37739,16208,12193,3306,6946
New York 25th,Democratic,75.91584123,13.18566616,6.025763771,3.342127617,0.221536756,1.309064471,36.3,107,41.6,113,53594,227,717894,517207,107007,53459,23957,1519,14745,555664,421837,73268,33483,18571,1231,7274
New York 26th,Democratic,75.13477256,15.93289512,4.273254682,2.985880296,0.480862828,1.192334512,29.8,198,32.9,213,45106,353,716906,512316,126679,38873,21521,3566,13951,565026,424531,90025,24145,16871,2717,6737
New York 27th,Republican,93.51753644,2.438423381,1.81167572,0.860662031,0.674423339,0.697279094,29.3,205,29.5,265,62566,130,719760,667248,16414,15737,6587,5114,8660,560034,523730,13656,10146,4820,3777,3905
New York 2nd,Republican,68.84032777,8.476399955,18.54571605,2.906774606,0.137790449,1.092991169,30,191,33.4,200,89668,23,718757,475083,64067,146936,20965,1055,10651,546482,376200,46322,101349,15885,753,5973
New York 3rd,Democratic,73.94828879,2.881440178,9.026054422,12.69807416,0.077901187,1.368241259,51.8,21,54.3,35,102602,5,717864,520046,20752,69966,93704,651,12745,553265,409130,15942,49938,70254,431,7570
New York 4th,Democratic,63.23222117,13.46272938,16.52343651,5.411057875,0.096693937,1.27386113,40.7,70,48.1,65,97111,11,718843,438618,98985,129190,39499,828,11723,552258,349205,74349,91252,29883,534,7035
New York 5th,Democratic,13.10041076,50.0688304,17.91538499,11.38929808,0.471794377,7.054281399,24.3,294,35.5,181,65012,116,710048,85259,355785,133873,80160,4151,50820,539006,70612,269874,96565,61389,2543,38023
New York 6th,Democratic,39.71938422,3.690104334,17.35066482,37.13776638,0.089511427,2.012568826,36.2,109,42.1,106,59696,160,724580,277856,26223,133838,268850,859,16954,590986,234736,21808,102540,219479,529,11894
New York 7th,Democratic,28.61902324,8.377871663,41.32690459,19.48421483,0.175697726,2.016287953,33,141,59.9,21,49420,291,714039,199545,59712,306463,131025,1427,15867,542978,155395,45490,224396,105795,954,10948
New York 8th,Democratic,24.46891067,51.50471524,16.9110765,4.692523404,0.245348822,2.177425364,30.9,170,51.2,50,47220,323,718016,155930,378439,131873,33159,1863,16752,550237,134637,283398,93051,25820,1350,11981
New York 9th,Democratic,31.16942638,50.15297911,10.61991897,5.914356763,0.183682348,1.959636431,37.3,96,64,15,51148,260,727032,221159,364537,81691,42491,1464,15690,558573,174104,280141,59320,33036,1026,10946
North Carolina 10th,Republican,81.91613883,11.61852271,4.489198366,1.269446807,0.333223196,2.103383551,,,,,,,736057,582998,95259,41449,10579,2478,19284,568988,466093,66108,25543,7223,1896,11968
North Carolina 11th,Republican,89.56182615,3.272049514,4.329544221,0.972399026,1.315537886,2.162015975,,,,,,,733447,640542,27828,41284,8329,11038,20162,580523,519927,18995,25134,5645,7637,12551
North Carolina 12th,Democratic,46.57766906,36.20765621,12.14612573,4.723564438,0.487951135,6.398211272,,,,,,,733894,312781,281939,102704,34323,3734,54218,546981,254771,198049,66437,25837,2669,34997
North Carolina 13th,Republican,69.78037134,21.16975279,5.738251067,2.646398212,0.449932474,3.037939768,,,,,,,729710,487239,164132,52139,20836,3460,27403,558306,389588,118192,32037,14775,2512,16961
North Carolina 1st,Democratic,46.21005597,44.44671719,6.588186336,1.972647089,0.80126114,3.823271134,,,,,,,733323,314598,341018,58595,13468,6100,34353,567106,262060,252060,37362,11187,4544,21682
North Carolina 2nd,Republican,70.65255319,19.67825961,7.12702691,1.772986105,0.603192507,3.648013218,,,,,,,734740,500909,149478,64463,13235,4685,32264,530179,374585,104330,37786,9400,3198,19341
North Carolina 3rd,Republican,71.22779936,21.21396001,5.379783893,1.35146644,0.492894022,2.354819822,,,,,,,732627,502246,166389,47782,9830,3583,20321,563610,401447,119564,30321,7617,2778,13272
North Carolina 4th,Democratic,61.6202346,22.40056373,8.687505338,6.64628591,0.438459129,4.19703613,,,,,,,733218,424627,176841,75661,50555,3520,36743,561968,346286,125884,48821,37350,2464,23586
North Carolina 5th,Republican,77.6660137,14.01709462,6.698152428,1.147685955,0.318145945,3.923447673,,,,,,,733879,546455,110223,64728,9007,2461,38339,567664,440882,79570,38023,6515,1806,22272
North Carolina 6th,Republican,71.11150918,19.8622481,7.148947604,1.218450515,0.534885804,3.838423645,,,,,,,733554,498545,152617,67658,9675,4210,35573,558250,396980,110881,39909,6802,2986,21428
North Carolina 7th,Republican,70.81863599,20.27776216,6.957053318,0.794007701,0.886934709,4.270602041,,,,,,,734750,496463,158230,65242,5843,6801,39737,569264,403145,115434,39604,4520,5049,24311
North Carolina 8th,Republican,66.93734966,22.45253859,7.253679396,2.023598853,1.224045764,3.349633117,,,,,,,733160,464581,177658,66336,14810,9366,29782,544179,364259,122182,39473,11012,6661,18228
North Carolina 9th,Republican,64.13613248,19.55628411,5.938565281,2.02056517,7.993405734,2.967792411,,,,,,,733124,452011,149844,52079,15076,60674,25851,536830,344302,104984,31880,10847,42911,15932
North Dakota At-Large,Republican,91.00206612,0.986570248,1.542699725,1.106137129,4.359121518,1.003405265,29.1,211,29.9,260,60557,155,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245
Ohio 10th,Republican,78.50097345,16.01485748,1.83583201,1.987098395,0.213710871,1.44752779,29.1,211,30.2,253,49490,289,721931,549891,123144,16102,14250,1518,17026,557295,437482,89250,10231,11074,1191,8067
Ohio 11th,Democratic,41.83328201,50.87852279,3.34518302,2.318250644,0.187675718,1.437085815,26,263,39.9,131,35624,424,720563,274301,386243,27893,15567,1307,15252,548819,229589,279231,18359,12723,1030,7887
Ohio 12th,Republican,89.55120242,4.541290623,1.541367572,3.034550231,0.17075414,1.16083501,40,76,39.4,135,69056,90,723055,637035,33656,13524,23057,1218,14565,545814,488783,24787,8413,16563,932,6336
Ohio 13th,Democratic,85.11469925,10.29171942,2.158611474,1.119111164,0.187804459,1.128054234,21.4,349,22.6,381,42019,391,723040,597736,82339,18816,8001,1321,14827,570274,485387,58691,12310,6382,1071,6433
Ohio 14th,Republican,92.00752216,3.577193647,1.707885769,1.836335012,0.110875792,0.760187619,33.5,134,33.4,200,64775,119,720673,653150,26962,16214,13900,746,9701,551969,507853,19745,9427,10136,612,4196
Ohio 15th,Republican,91.35666373,3.715359577,1.534519035,2.05495711,0.202132825,1.136367723,30.8,174,30,256,60009,158,722961,653667,26817,13392,14767,1442,12876,556070,508007,20660,8533,11427,1124,6319
Ohio 16th,Republican,94.04500371,1.701504685,1.477854689,1.884458306,0.124249998,0.766928612,32.3,151,31.8,229,61330,149,719950,669939,12795,13217,14055,887,9057,555332,522262,9449,8207,10465,690,4259
Ohio 1st,Republican,73.35844875,20.60829216,2.166621575,2.555397838,0.162329841,1.148909833,34.2,130,37.2,156,55059,209,720719,510134,158235,18661,18716,1089,13884,539642,395873,111211,11692,13790,876,6200
Ohio 2nd,Republican,88.1291456,8.003937411,1.339011776,1.216287292,0.225177512,1.086440406,30.5,179,31.2,240,52371,236,720903,626169,59936,11731,8810,1516,12741,547568,482567,43827,7332,6660,1233,5949
Ohio 3rd,Democratic,60.11770919,29.38848323,4.990884442,3.230844733,0.248741829,2.023336574,27.2,241,31.8,229,42601,376,715597,397475,228563,43044,21491,1630,23394,535897,322169,157492,26746,17314,1333,10843
Ohio 4th,Republican,90.61710462,5.004564573,2.469991822,0.743686894,0.193742785,0.97090931,17,410,16.6,431,50627,269,720629,641230,36317,22839,5472,1325,13446,546601,495314,27355,13501,4065,1059,5307
Ohio 5th,Republican,92.15163248,2.301707448,3.426541871,1.175235447,0.17685847,0.76802428,25.2,278,25.5,334,56098,200,720433,652709,17105,31502,8732,1232,9153,549592,506458,12650,18832,6459,972,4221
Ohio 6th,Republican,95.69095383,2.199128896,0.702474777,0.372338342,0.202284245,0.832819906,15.8,417,15.9,432,43964,363,721327,685944,15512,6202,2724,1377,9568,561586,537387,12350,3945,2091,1136,4677
Ohio 7th,Republican,93.34136478,3.579994344,1.411686494,0.569853414,0.201092326,0.896008639,19.5,384,19.9,413,51132,261,721122,663201,28240,12911,4175,1347,11248,544526,508268,19494,7687,3103,1095,4879
Ohio 8th,Republican,89.71148602,5.236663276,2.285005675,1.559206356,0.183891272,1.023747402,23.7,310,23.7,362,54069,219,721169,633207,40948,20858,11491,1247,13418,542712,486875,28420,12401,8462,998,5556
Ohio 9th,Democratic,75.38202646,14.20218239,7.482574232,1.301136117,0.243815845,1.388264959,21.6,344,24.2,356,41379,394,722432,513475,112303,67768,8957,1704,18225,552056,416151,78404,41308,7183,1346,7664
Oklahoma 1st,Republican,71.60344581,8.353750269,7.925711011,2.086646608,5.930403324,4.100042983,29.4,203,33,211,52054,244,749913,502866,67879,73712,16154,49094,40208,558360,399805,46644,44254,11651,33113,22893
Oklahoma 2nd,Republican,70.90352356,3.47278535,3.220171066,0.533962783,15.92104614,5.948511109,17.3,409,18.2,423,41197,396,750307,496312,25739,32195,4373,136384,55304,567268,402213,19700,18267,3029,90315,33744
Oklahoma 3rd,Republican,79.69881196,3.69970061,6.844349154,1.408788442,5.468356037,2.879993794,22.1,339,23.7,362,48571,305,750049,574367,26758,63049,10441,46265,29169,567154,452015,20983,38818,7990,31014,16334
Oklahoma 4th,Republican,76.78740778,6.208487361,5.840580909,2.26655711,5.2854662,3.61150064,24.1,300,24.9,344,51990,246,751309,551103,48601,54410,16271,43837,37087,568351,436422,35286,33195,12882,30040,20526
Oklahoma 5th,Republican,65.12312863,13.01092495,11.58197634,2.868422555,4.174635003,3.240912529,29.9,192,35.7,179,48426,307,749773,450733,103094,108641,20892,33153,33260,560552,365049,72933,64923,16079,23401,18167
Oregon 1st,Democratic,77.89592281,1.309124114,11.00560036,6.944381755,0.656037664,2.188933292,40.4,74,41.9,109,66349,103,763897,565900,10694,104801,53082,4973,24447,576034,448707,7541,63396,40002,3779,12609
Oregon 2nd,Republican,85.28741368,0.48625007,9.502836883,1.150706972,1.784783852,1.788008547,24,304,25.6,332,46793,334,765205,625841,3828,94603,8614,14507,17812,589203,502516,2865,55991,6780,10516,10535
Oregon 3rd,Democratic,76.85526845,4.712975333,8.402902279,6.567705773,0.767948457,2.693199708,39.9,80,43.5,97,58809,168,765961,558539,39511,82254,51504,5828,28325,604077,464265,28470,50760,39674,4639,16269
Oregon 4th,Democratic,88.28052145,0.587734686,5.183640597,2.266487548,1.131124342,2.550491382,25.9,266,25.9,326,44747,356,766771,659561,4904,51481,16819,9217,24789,613372,541488,3605,31795,13902,6938,15644
Oregon 5th,Democratic,81.77184737,0.767267822,11.65181678,2.86595582,1.029324581,1.913787622,29.9,192,32.5,219,58466,171,769240,596007,6047,116923,22114,8181,19968,581935,475859,4465,67806,16678,5990,11137
Pennsylvania 10th,Republican,92.53602207,2.93541226,2.851238848,0.751961186,0.168888712,0.756476927,21.3,351,21.2,402,53520,228,705327,644796,21702,23818,5414,1143,8454,553619,512297,16251,15785,4163,935,4188
Pennsylvania 11th,Republican,90.1706879,4.218720932,3.501230699,1.219965941,0.112873682,0.776520843,22.8,323,23.4,367,52367,237,706322,622796,31920,32000,9175,791,9640,559032,504083,23584,19573,6820,631,4341
Pennsylvania 12th,Republican,94.23470456,2.871905598,0.918809272,1.293351165,0.081461071,0.599768328,32.4,149,32.2,227,57186,183,705698,656932,21563,7890,10402,602,8309,558549,526347,16041,5132,7224,455,3350
Pennsylvania 13th,Democratic,65.99218504,15.54879005,8.748222824,8.082899835,0.144571293,1.483330967,34.3,126,39.5,134,57367,180,705642,439009,120799,72198,57780,1101,14755,542293,357871,84320,47441,43833,784,8044
Pennsylvania 14th,Democratic,75.26627712,18.86062359,1.589771074,2.685058476,0.155404198,1.442865542,32.9,144,34.4,191,43763,368,705526,504934,151511,13002,17727,1089,17263,576561,433956,108743,9166,15481,896,8319
Pennsylvania 15th,Republican,82.9802014,3.227858078,10.40938867,2.377592129,0.107772446,0.897187286,28.6,221,31.1,246,58867,167,705554,559313,25933,91664,17602,797,10245,545594,452735,17611,56793,12972,588,4895
Pennsylvania 16th,Republican,78.49612491,5.494453309,13.22258947,1.72631259,0.145315705,0.915204012,25.6,272,29,276,55802,202,705612,527104,40059,114018,12498,1010,10923,526440,413235,28925,69609,9088,765,4818
Pennsylvania 17th,Democratic,87.46465038,4.547281526,5.490298568,1.495453439,0.129592747,0.87272334,21.7,342,22.2,391,50329,275,705386,598290,35994,49022,10906,940,10234,554815,485267,25229,30461,8297,719,4842
Pennsylvania 18th,Republican,94.58359139,2.268512652,0.89312646,1.540839475,0.072999345,0.640930679,35.4,114,34.9,186,62254,136,705847,661140,16526,7617,11727,530,8307,560279,529932,12710,5004,8633,409,3591
Pennsylvania 1st,Democratic,46.90645764,31.65677437,13.21064524,6.452413428,0.187707929,1.586001392,26,263,36.5,166,45968,345,705688,294705,241500,108518,44758,1356,14851,535939,251390,169661,70801,34581,1006,8500
Pennsylvania 2nd,Democratic,31.9976521,55.99539755,4.80206213,5.120141305,0.254176135,1.830570783,35.6,112,70.4,7,40244,405,705689,201658,415882,38199,33031,1805,15114,557094,178257,311947,26752,28524,1416,10198
Pennsylvania 3rd,Republican,92.99327446,3.973768032,1.407209238,0.752866959,0.121653393,0.751227916,25.1,281,25.3,338,50231,276,705770,643914,31943,13262,5603,832,10216,549101,510627,21820,7727,4134,668,4125
Pennsylvania 4th,Republican,85.62028935,6.656364953,4.757958717,1.828952349,0.15415823,0.982276397,25.5,276,26.4,317,58510,170,705669,585038,51773,42341,13446,1052,12019,544246,465985,36227,25895,9954,839,5346
Pennsylvania 5th,Republican,93.79315214,2.257500882,1.500352983,1.63836922,0.124602894,0.686021885,23.8,309,23.6,364,48610,304,705715,661706,14428,10951,10781,853,6996,566600,531432,12791,8501,9283,706,3887
Pennsylvania 6th,Republican,87.84438047,3.859509835,3.924249282,3.456789665,0.09794392,0.81712683,42.5,55,42.2,105,80129,41,705799,606215,28546,33699,26634,677,10028,539084,473555,20806,21155,18635,528,4405
Pennsylvania 7th,Republican,88.22926004,4.707371845,2.37281557,3.820569454,0.09056548,0.779417609,42.4,56,42.5,102,84406,32,705677,614128,33645,19824,28353,639,9088,541045,477360,25469,12838,20671,490,4217
Pennsylvania 8th,Republican,88.40543408,3.058694819,3.545301173,3.981810279,0.118244239,0.890515412,39.1,84,39.1,138,80032,43,705689,612094,23508,29727,29433,846,10081,542944,479992,16607,19249,21619,642,4835
Pennsylvania 9th,Republican,94.60779297,2.715313947,1.353527628,0.515809109,0.123162217,0.684394126,18.4,398,18.2,423,47413,320,705769,660880,19859,11910,3733,846,8541,556989,526955,15124,7539,2873,686,3812
Rhode Island 1st,Democratic,75.73906848,5.794519818,11.87187056,2.955062116,0.317730373,3.321748656,32.7,145,36.1,171,51966,247,525933,377374,33572,75650,15533,1791,22013,412614,312510,23909,48985,12193,1311,13706
Rhode Island 2nd,Democratic,83.72969036,3.200984622,8.589004248,2.717327288,0.389906658,1.373086825,32.7,145,35,185,64118,121,526634,426311,17988,55005,14760,2229,10341,415997,348313,13316,35730,11304,1622,5712
South Carolina 1st,Republican,73.39150291,17.81770433,5.5102358,1.765411484,0.316419124,1.198726353,39.6,81,45.5,84,61907,139,650785,458423,124899,41893,11245,2070,12255,501866,368327,89421,27654,8860,1588,6016
South Carolina 2nd,Republican,70.54436219,21.7047382,4.559271119,1.685279711,0.36341011,1.142938668,33.5,134,36.4,167,56454,192,665499,451332,154392,34563,11108,2360,11744,504664,356012,109536,23009,8505,1834,5768
South Carolina 3rd,Republican,76.96011314,17.81109028,3.474895156,0.801733138,0.213704093,0.73846419,19.8,376,22.2,391,43034,372,660789,494909,122916,27845,5225,1367,8527,510519,392896,90929,17740,4093,1091,3770
South Carolina 4th,Republican,72.62596774,18.01341132,6.256289669,2.019469326,0.202066499,0.882795453,30.2,185,35.4,182,50015,281,661218,462755,124400,48816,13999,1306,9942,501815,364448,90394,31395,10134,1014,4430
South Carolina 5th,Republican,68.24072847,26.42601046,3.102955406,0.971016064,0.420365441,0.838924154,23.1,321,26.4,317,45802,346,660216,435695,180407,24958,6535,3008,9613,498138,339933,131638,15457,4837,2094,4179
South Carolina 6th,Democratic,39.12659346,54.36246954,4.144312081,1.084476548,0.356702492,0.925445878,19.2,390,27.4,304,34566,430,665721,239031,377877,31149,6676,2354,8634,514995,201500,279964,21343,5585,1837,4766
South Carolina 7th,Republican,66.80750176,27.49306386,3.427225562,0.827463038,0.61513805,0.829607735,20.6,362,24.4,353,41473,393,661136,420595,195107,26458,5632,4149,9195,512893,342651,141010,17578,4244,3155,4255
South Dakota At-Large,Republican,87.84493517,1.043045031,2.112750927,0.94196273,6.922501934,1.134804206,27.5,235,29.3,269,53017,231,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938
Tennessee 1st,Republican,93.68025936,2.071754771,2.540103112,0.63206382,0.249522497,0.82629644,19.2,390,19.2,418,39081,411,706717,653702,15054,22775,4654,1684,8848,557064,521859,11541,14150,3521,1390,4603
Tennessee 2nd,Republican,88.90776973,5.698758838,2.76759951,1.365242356,0.255073265,1.005556304,29.9,192,30.5,249,49841,284,702769,613371,42845,23843,9890,1771,11049,549646,488678,31323,15212,7504,1402,5527
Tennessee 3rd,Republican,84.89818552,10.1256318,2.594814734,1.100687248,0.284898731,0.995781972,22.5,329,23.4,367,43526,370,705326,586894,75983,22228,7957,1929,10335,550020,466957,55693,14272,6054,1567,5477
Tennessee 4th,Republican,85.15254161,7.711061303,4.374863075,1.461845404,0.308959257,0.99072935,21.6,344,22.3,390,49312,293,706861,586940,56789,38525,10760,2088,11759,534051,454758,41181,23364,7807,1650,5291
Tennessee 5th,Democratic,65.03507242,23.11361197,7.503688226,2.730109632,0.259409774,1.358107972,36.4,105,42.6,101,51554,252,702181,429033,174518,63349,19481,1684,14116,547011,355749,126434,41046,14934,1419,7429
Tennessee 6th,Republican,91.53260922,3.771581674,2.871441965,0.71892591,0.290905587,0.814535644,21.6,344,21.4,400,47227,322,708141,638135,28183,25490,5357,1970,9006,539694,493996,20355,15497,3880,1570,4396
Tennessee 7th,Republican,84.3054367,9.388479498,3.324009565,1.504055935,0.327193431,1.150824876,28.4,224,29.1,272,53238,230,703960,581125,67578,28766,10908,2182,13401,522321,440345,49038,17362,7856,1709,6011
Tennessee 8th,Republican,76.69119896,18.58363084,2.198713415,1.535534923,0.231127554,0.759794311,28.5,223,30,256,55100,207,704834,526413,137108,18977,11644,1579,9113,533039,408794,99058,11720,8185,1232,4050
Tennessee 9th,Democratic,30.24428815,61.09717008,5.680530799,1.848980586,0.206086711,0.922943676,23.2,318,38.4,147,37388,419,705316,185169,451333,46106,12427,1415,8866,517258,156441,316030,29383,9564,1066,4774
Texas 10th,Republican,61.82387619,9.523039899,22.76750782,4.415808136,0.293086355,1.1766816,38.3,91,46.3,78,70494,82,689685,397326,67060,181716,30551,1905,11127,507359,313669,48316,115513,22404,1487,5970
Texas 11th,Republican,66.20757327,3.338466093,28.40172565,0.764514321,0.446494238,0.841226425,21,353,26.8,314,56334,195,716106,440232,24198,235860,5313,3058,7445,537073,355583,17930,152538,4106,2398,4518
Texas 12th,Republican,70.71944096,7.21092745,17.25982036,3.083013016,0.5095279,1.217270314,30.1,189,34,194,62274,135,692446,460918,52742,142814,20927,3373,11672,514594,363918,37107,88818,15865,2622,6264
Texas 13th,Republican,71.2114901,5.219373351,20.28220021,1.630837229,0.63077552,1.025323583,20.5,364,24.5,352,49281,294,697818,466233,36270,169542,11664,4324,9785,518568,369280,27066,105177,8457,3271,5317
Texas 14th,Republican,56.87963171,19.7580353,19.23245622,2.789993402,0.360048362,0.979835003,24.2,298,30.4,250,57520,177,699852,372487,141256,154676,19462,2350,9621,524374,298262,103606,100850,14630,1888,5138
Texas 15th,Democratic,19.37713219,1.68064883,77.28603,1.159053361,0.135172828,0.361962795,18.7,396,33,211,41993,392,693850,112499,10009,560294,7323,833,2892,466070,90311,7833,360207,5402,630,1687
Texas 16th,Democratic,17.11109023,3.045053805,77.53499146,1.359417258,0.263508379,0.685938866,24.3,294,42.7,99,45316,352,692582,102246,20224,554318,8258,1673,5863,489548,83767,14907,379571,6655,1290,3358
Texas 17th,Republican,62.1278855,12.42344592,19.8705965,4.170000523,0.286587053,1.121484495,30.7,176,36.4,167,51024,264,702420,404411,93389,163935,27921,1926,10838,534916,332332,66455,106291,22306,1533,5999
Texas 18th,Democratic,20.0369275,41.03015137,34.00316057,3.709609275,0.192153007,1.027998278,21,353,47.2,71,43100,371,678812,112335,275335,259219,22600,1192,8131,492316,98645,201998,167403,18263,946,5061
Texas 19th,Republican,62.15812402,5.741741833,29.44278962,1.381147471,0.390797184,0.885399871,20.5,364,27.7,298,47305,321,700602,402548,40888,237388,8923,2579,8276,524057,325744,30090,154297,7238,2048,4640
Texas 1st,Republican,68.28787117,17.21553252,12.34828688,0.905929739,0.379270859,0.863108836,20.3,368,25.1,341,46537,337,697653,449361,122388,108031,6394,2514,8965,523109,357220,90056,64595,4739,1984,4515
Texas 20th,Democratic,26.59027086,4.632837079,64.66395982,2.763286291,0.230936326,1.118709618,23.3,317,40.6,124,49404,292,690154,160686,30256,471362,17201,1408,9241,503169,133794,23311,325369,13904,1162,5629
Texas 21st,Republican,66.83667233,3.28047972,24.95916531,3.261219818,0.321121815,1.341341008,44.6,42,48.6,62,65254,114,681608,431913,23008,191587,21680,2061,11359,539982,360906,17714,134775,17610,1734,7243
Texas 22nd,Republican,48.19565565,11.93856466,22.1255057,16.08619891,0.228287861,1.425787219,44.7,40,47,75,95048,15,697318,315103,85562,170341,110977,1627,13708,494113,238141,58990,109325,79484,1128,7045
Texas 23rd,Republican,28.49352159,3.046125662,66.19038588,1.2765159,0.343591999,0.649858972,21.1,352,40,130,53917,221,708786,178386,19772,494151,8277,2448,5752,495646,141227,15098,328070,6327,1703,3221
Texas 24th,Republican,57.32675367,9.583307064,20.43898814,10.73398404,0.374261364,1.542705724,44.7,40,49.7,58,68161,93,692820,369026,67928,163450,75547,2548,14321,523431,300066,50162,106984,56185,1959,8075
Texas 25th,Republican,72.84626843,6.946715313,15.42125683,2.969706348,0.403629496,1.412423585,37,98,40.3,127,65706,110,720956,501121,51446,130598,20534,2860,14397,536383,390735,37261,82717,15929,2165,7576
Texas 26th,Republican,71.50014701,6.678306329,14.82929167,5.047948157,0.492973913,1.451332923,41.6,62,44.5,89,79738,45,697278,477663,47134,119418,35223,3420,14420,496578,355054,33163,73639,25067,2448,7207
Texas 27th,Republican,47.25256163,5.138226114,45.09019921,1.460386442,0.286587402,0.772039205,19.3,388,28.5,289,50764,266,704891,301421,36021,348745,9886,1862,6956,520958,246166,26768,234901,7608,1493,4022
Texas 28th,Democratic,21.1376643,4.146280108,72.86061673,1.098673039,0.163721359,0.593044463,18.4,398,27.3,306,45054,354,703920,125348,27911,537837,6738,979,5107,477030,100833,19779,347567,5241,781,2829
Texas 29th,Democratic,14.71088435,9.967687075,72.83056973,1.811011905,0.153486395,0.526360544,9.1,434,18.3,422,40871,399,696907,81252,67088,532612,10863,946,4146,470400,69200,46888,342595,8519,722,2476
Texas 2nd,Republican,54.31340673,9.153519242,27.75918609,7.314155171,0.251967681,1.207765084,40.1,75,49.7,58,74246,66,723642,362572,69835,226797,50935,1709,11794,535783,291002,49043,148729,39188,1350,6471
Texas 30th,Democratic,21.33365774,44.71704096,30.77101028,1.955395836,0.295353517,0.927541666,20,372,40.9,120,42439,380,707252,122052,312089,250571,12519,1874,8147,501433,106974,224226,154296,9805,1481,4651
Texas 31st,Republican,63.59576682,10.48469077,19.54860189,4.295491811,0.403626044,1.671822668,35.2,116,39.9,131,65377,113,697292,415111,75808,157062,29353,2626,17332,500711,318431,52498,97882,21508,2021,8371
Texas 32nd,Republican,57.72742452,11.38735409,21.93016743,7.31928991,0.349314653,1.2864494,43,52,54.2,36,66375,102,703008,372416,85748,180602,50022,2393,11827,527032,304242,60015,115579,38575,1841,6780
Texas 33rd,Democratic,19.8886461,16.88755358,59.68841919,2.424363392,0.315992941,0.795024792,10.4,432,22.4,388,39246,409,703224,110752,111975,456788,15121,1933,6655,475960,94662,80378,284093,11539,1504,3784
Texas 34th,Democratic,18.23771867,1.388725827,79.28337219,0.693943612,0.12495178,0.271287926,14.6,424,26.1,324,35642,423,694345,103425,7818,576009,4230,780,2083,476984,86991,6624,378169,3310,596,1294
Texas 35th,Democratic,29.82487626,9.556449722,57.65031947,1.63417554,0.272668501,1.061510506,18.9,395,34.5,189,43831,365,681404,174918,63659,423076,9492,1692,8567,490339,146243,46859,282682,8013,1337,5205
Texas 36th,Republican,69.18877929,8.957735173,18.32434164,2.154726622,0.455759316,0.918657961,18.2,401,20.1,411,56885,186,700735,459185,63876,151047,14623,3111,8893,518256,358575,46424,94967,11167,2362,4761
Texas 3rd,Republican,65.25820285,8.093746883,12.75895083,11.84900768,0.397526678,1.642565074,52.6,17,54.1,38,86565,26,701227,437406,58722,101226,84802,2789,16282,501350,327172,40578,63967,59405,1993,8235
Texas 4th,Republican,77.1073141,10.31864128,9.754790452,0.91922699,0.764343799,1.135683377,19.5,384,21.8,398,47850,314,704405,519963,74839,85956,6406,5385,11856,526203,405741,54297,51330,4837,4022,5976
Texas 5th,Republican,62.50074419,13.32728723,20.87591733,1.844391613,0.446511849,1.005147785,20,372,25.1,341,46900,331,687716,395476,94652,172350,12674,2883,9681,503906,314945,67157,105195,9294,2250,5065
Texas 6th,Republican,58.5255294,16.98452746,17.85584744,4.925322587,0.391973756,1.316799362,29.8,198,33.4,200,62290,133,694650,374470,125770,145387,33268,2590,13165,499013,292050,84755,89103,24578,1956,6571
Texas 7th,Republican,50.89255486,10.6871903,27.14367055,9.612854329,0.195823459,1.467906497,48.6,26,62.8,17,71337,79,699182,330675,77731,211163,65030,1331,13252,519856,264568,55558,141108,49973,1018,7631
Texas 8th,Republican,71.78241326,8.252806912,16.56788154,2.020976436,0.381584324,0.99433753,29.6,202,32.7,216,64196,120,694659,476580,56090,135278,14239,2551,9921,513910,368897,42412,85144,10386,1961,5110
Texas 9th,Democratic,13.88637438,38.24310468,33.98554846,12.48948578,0.154609031,1.240877667,25.1,281,46.3,78,43572,369,696349,79829,268321,259715,77370,1053,10061,499324,69338,190957,169698,62363,772,6196
Utah 1st,Republican,84.80278596,0.953609405,10.23258401,1.903796255,0.910613557,1.196610815,28.7,219,31.6,234,63334,125,692099,573688,6533,81381,11728,6139,12630,467487,396442,4458,47836,8900,4257,5594
Utah 2nd,Republican,80.85595988,1.001905249,12.53010458,3.507596252,0.880249744,1.22418429,31.2,164,34,194,55339,205,687939,537386,7660,100891,23309,6109,12584,484976,392132,4859,60768,17011,4269,5937
Utah 3rd,Republican,85.74679128,0.47151128,8.560942517,2.459106193,1.472893369,1.288755362,39.6,81,41.9,109,66007,109,694412,583303,3748,67323,15969,10614,13455,474644,406992,2238,40634,11672,6991,6117
Utah 4th,Republican,79.01247026,1.041765075,14.01101025,4.05670019,0.627163187,1.25089104,28.6,221,31.2,240,67632,94,689428,527335,8010,108745,27079,4219,14040,465748,367999,4852,65256,18894,2921,5826
Vermont At-Large,Democratic,95.17651277,0.773401436,1.274501116,1.207029897,0.326077324,1.242477463,36.9,100,37.1,157,56990,185,625741,590223,5943,9208,8015,2023,10329,496508,472559,3840,6328,5993,1619,6169
