District,party,white,black,latino,asian,native,other,college,college.rank,white.college,white.college.rank,income.med,income.rank,pop,white.raw,black.raw,hisp.raw,asian.raw,native.raw,other.raw,pop.vap,white.vap,black.vap,hisp.vap,asian.vap,native.vap,other.vap
Maryland 2nd,Democratic,58.82261705,29.86739753,4.699021402,4.58041454,0.331004381,1.699545097,31.1,165,31.7,232,62278,134,717779,393132,230704,39026,32899,2355,19663,548029,322365,163682,25752,25102,1814,9314
Maryland 3rd,Democratic,66.23299802,18.68107002,6.784580353,6.40044329,0.222357632,1.678550684,47.3,30,51.3,49,81231,38,717166,451678,144608,55147,46293,1612,17828,561258,371738,104849,38079,35923,1248,9421
Maryland 4th,Democratic,28.80291605,53.56660973,12.4766806,3.284946148,0.240196698,1.628650779,33,141,47.6,69,78412,50,724534,197946,388849,98584,22443,1698,15014,546219,157327,292591,68150,17943,1312,8896
Maryland 5th,Democratic,52.03519326,35.27613423,6.304634986,4.127651478,0.358958034,1.897428016,34.9,120,37,158,91820,20,722586,356876,262920,52286,27778,2540,20186,546582,284415,192813,34460,22561,1962,10371
Maryland 6th,Democratic,66.35590549,11.75010598,10.08627155,9.973948237,0.18279714,1.650971597,41,69,40.7,123,73641,67,727594,462578,89470,81712,72931,1314,19589,551978,366270,64858,55674,55054,1009,9113
Maryland 7th,Democratic,36.14105655,53.38584749,2.865031051,5.802327635,0.233916864,1.571820407,37,98,56.3,30,59026,165,719131,245705,392787,22498,41461,1634,15046,554898,200546,296237,15898,32197,1298,8722
Maryland 8th,Democratic,65.49049509,11.38047393,12.42505849,8.818673098,0.163312099,1.721987288,53.9,16,59.7,22,95314,14,723759,462160,82612,97590,61934,1178,18285,554766,363319,63135,68930,48923,906,9553
Massachusetts 1st,Democratic,79.84021715,5.167339663,11.99062352,1.679332236,0.163893471,1.158593953,29.1,211,32.4,221,53918,220,727879,553044,40213,108819,12775,1160,11868,564391,450611,29164,67674,9478,925,6539
Massachusetts 2nd,Democratic,83.36993867,3.546421093,6.945067284,4.375867317,0.16966748,1.59303816,36.7,102,38.2,148,62448,131,727319,588155,27902,61113,33246,1221,15682,566402,472209,20087,39337,24785,961,9023
Massachusetts 3rd,Democratic,75.18129396,2.608011882,14.02534475,6.393706406,0.117950286,1.673692718,37.4,95,41.5,114,72570,70,727900,524287,19245,118080,49556,892,15840,549384,413034,14328,77053,35126,648,9195
Massachusetts 4th,Democratic,88.21648384,2.125064224,3.046841597,4.996748359,0.105453775,1.509408201,49.9,23,49.8,57,90913,21,729440,633759,15979,25674,37598,807,15623,556642,491050,11829,16960,27814,587,8402
Massachusetts 5th,Democratic,77.08280096,4.475527132,6.490127285,9.017355811,0.098934341,2.835254467,55.9,10,57.7,26,86183,28,727037,546918,34370,53303,66396,764,25286,579172,446442,25921,37589,52226,573,16421
Massachusetts 6th,Democratic,87.09403527,2.285916866,6.008331118,3.358326686,0.111672428,1.141717628,42.4,56,44.2,91,80638,40,727373,618612,17982,52252,26034,814,11679,564150,491341,12896,33896,18946,630,6441
Massachusetts 7th,Democratic,48.8372287,20.48676398,16.68988483,9.77081585,0.185189202,4.030117437,42.2,58,61.3,18,56719,189,727839,320503,164496,141116,67289,1453,32982,599387,292724,122795,100037,58565,1110,24156
Massachusetts 8th,Democratic,78.98100911,6.854593318,4.297726727,6.507707983,0.151968813,3.206994043,45.3,36,48.2,63,79789,44,725462,556481,55101,35933,47888,1158,28901,575118,454234,39422,24717,37427,874,18444
Massachusetts 9th,Democratic,90.20189527,2.104483852,3.398947845,1.029683308,0.332892032,2.93209769,33.1,140,34.7,187,63532,123,727380,643041,16405,31364,8180,2509,25881,574060,517813,12081,19512,5911,1911,16832
Michigan 10th,Republican,92.66210999,2.494416113,2.289720237,1.344051411,0.317773088,0.891929161,22.8,323,22.6,381,58068,174,705744,644037,18881,20425,9974,2246,10181,535917,496592,13368,12271,7203,1703,4780
Michigan 11th,Republican,84.29944417,4.811592586,2.56278698,6.954994144,0.21991709,1.151265034,46,35,43.8,95,77183,55,705359,579927,35987,22049,53024,1604,12768,537930,453472,25883,13786,37413,1183,6193
Michigan 12th,Democratic,78.840593,9.670220861,4.424376335,4.864081853,0.358842243,1.84188571,34.3,126,33.4,200,54212,218,705112,539252,74064,37235,32839,2507,19215,545365,429969,52738,24129,26527,1957,10045
Michigan 13th,Democratic,37.35173641,53.80131247,5.601853796,1.17561052,0.349113759,1.72037305,15.3,422,18.5,421,31789,433,706462,246159,386239,48016,7611,2274,16163,523898,195685,281864,29348,6159,1829,9013
Michigan 14th,Democratic,33.60907663,57.34722459,3.451238668,3.669070194,0.233161112,1.690228808,29.7,200,45.6,82,40785,400,705968,219139,413655,28637,27415,1664,15458,528390,177587,303017,18236,19387,1232,8931
Michigan 1st,Republican,93.21071567,1.53713938,1.057083581,0.54660171,2.407929995,1.240529663,24.9,285,25.7,331,45684,351,705288,649509,9420,9962,3970,19638,12789,562018,523861,8639,5941,3072,13533,6972
Michigan 2nd,Republican,84.12708656,5.916661131,6.355276768,1.957922507,0.499919337,1.143133701,25.1,281,26.8,314,51681,249,705379,570532,45248,57713,14641,3397,13848,526885,443253,31174,33485,10316,2634,6023
Michigan 3rd,Republican,83.71429497,7.811538747,5.485390386,1.371157132,0.400357312,1.217261457,30.2,185,32.5,219,53861,225,706300,569753,58869,50042,10118,2744,14774,525031,439526,41013,28800,7199,2102,6391
Michigan 4th,Republican,93.52331748,1.892741608,2.093175244,0.896580977,0.666837791,0.927346903,20.7,359,20.7,404,47461,318,706106,653338,12441,19006,6438,5042,9841,549309,513732,10397,11498,4925,3663,5094
Michigan 5th,Democratic,77.6952665,16.13399301,3.569488951,0.837782908,0.442500173,1.320968461,19.5,384,20.6,405,42390,382,706016,526313,124083,31550,5839,3202,15029,535819,416306,86449,19126,4489,2371,7078
Michigan 6th,Republican,85.12359132,7.575114091,4.08307721,1.347117444,0.478532178,1.392567756,28.1,229,28.6,284,50511,272,706833,580808,59007,37593,9480,3468,16477,536850,456986,40667,21920,7232,2569,7476
Michigan 7th,Republican,90.61720161,4.051688203,3.073873373,0.863137418,0.335880691,1.058218702,23.4,313,23.5,366,53887,222,706835,629156,28799,27456,6465,2323,12636,539775,489129,21870,16592,4659,1813,5712
Michigan 8th,Republican,85.72758923,5.152707583,3.706953116,3.725726734,0.350750666,1.336272675,39,85,39,139,65400,112,705492,590738,38902,32041,26471,2462,14878,537989,461205,27721,19943,20044,1887,7189
Michigan 9th,Democratic,83.58555978,9.651765164,1.702032482,3.30431677,0.287700488,1.468625315,28.8,215,29.6,263,52455,235,706746,571278,78161,14633,24375,2094,16205,554396,463395,53509,9436,18319,1595,8142
